year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,1,OUT,19,3,Bot,114.40,50.18,32.0,18.8,17.0,20.4,29.500,29.068,15.000,15.144,42.0718,27.7491,30.1791,sand,42.0718
1,1,OUT,19,4,Bot,126.30,50.33,28.5,18.7,16.0,20.3,26.000,25.532,14.000,14.108,49.2700,22.6991,28.0308,sand,49.2700
1,1,OUT,19,5,Bot,129.40,50.70,31.0,18.6,18.0,20.3,28.500,27.996,16.000,16.108,44.7802,23.4487,31.7710,sand,44.7802
1,1,OUT,27,1,Top,46.60,46.58,22.5,18.8,15.0,20.4,20.000,19.568,13.000,13.144,57.9898,13.7924,28.2179,sand,57.9898
1,1,OUT,27,2,Top,39.30,39.33,22.5,18.8,14.0,20.4,20.000,19.568,12.000,12.144,50.2457,18.8774,30.8769,sand,50.2457
1,1,OUT,27,3,Top,35.80,35.82,22.0,18.8,13.0,20.5,19.500,19.068,11.000,11.180,46.7662,22.0226,31.2112,sand,46.7662
1,1,OUT,27,4,Top,37.60,37.60,24.0,18.8,13.5,20.4,21.500,21.068,11.500,11.644,43.9671,25.0651,30.9678,sand,43.9671
1,1,OUT,27,5,Top,45.60,45.57,24.0,18.9,14.0,20.5,21.500,21.104,12.000,12.180,53.6881,19.5841,26.7278,sand,53.6881
1,1,OUT,27,1,Bot,112.30,50.25,34.0,19.0,19.0,20.4,31.500,31.140,17.000,17.144,38.0293,27.8536,34.1172,sand,38.0293
1,1,OUT,27,2,Bot,122.50,50.12,34.5,19.0,19.0,20.5,32.000,31.640,17.000,17.180,36.8709,28.8517,34.2774,sand,36.8709
1,1,OUT,27,3,Bot,109.50,50.04,31.5,19.1,18.5,20.6,29.000,28.676,16.500,16.716,42.6933,23.9018,33.4049,sand,42.6933
1,1,OUT,27,4,Bot,125.80,50.05,32.0,19.1,17.0,20.5,29.500,29.176,15.000,15.180,41.7058,27.9649,30.3294,sand,41.7058
1,1,OUT,27,5,Bot,124.70,50.10,26.0,19.3,16.0,20.6,23.500,23.248,14.000,14.216,53.5964,18.0287,28.3749,sand,53.5964
1,2,IN,0,1,Top,30.17,30.17,17.5,22.1,10.5,22.1,16.000,16.755,8.500,9.255,44.4635,24.8591,30.6774,sand,44.4635
1,2,IN,0,2,Top,35.32,35.32,19.5,22.2,12.0,22.1,18.000,18.791,10.000,10.755,46.7969,22.7519,30.4512,sand,46.7969
1,2,IN,0,3,Top,40.44,40.44,17.0,22.1,11.0,22.1,15.500,16.255,9.000,9.755,59.8037,16.0732,24.1231,sand,59.8037
