reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,OUT,27,1,Top,1.7802,54.4434,43.7764,39.26,31.80,0.57,17.31,13.92,2.9424,0.1001,3.40198477433388
1,OUT,27,2,Top,0.0000,47.4456,52.5544,39.26,21.80,0.00,10.34,11.46,2.7995,0.0982,3.50776924450795
1,OUT,27,3,Top,2.8565,57.4600,39.6835,39.26,27.52,0.79,15.81,10.92,2.872,0.0891,3.10236768802228
1,OUT,27,4,Top,0.0000,51.1918,48.8082,39.26,20.40,0.00,10.44,9.96,2.9426,0.1021,3.46972065520288
1,OUT,27,5,Top,0.0000,46.1106,53.8894,39.26,18.61,0.00,8.58,10.03,2.9031,0.09,3.1001343391547
1,OUT,27,1,Bot,7.8709,52.3420,39.7871,117.81,86.70,6.82,45.38,34.50,2.8746,0.0982,3.41612746121199
1,OUT,27,2,Bot,5.6783,50.3942,43.9275,117.81,89.40,5.08,45.05,39.27,2.7926,0.0913,3.26935472319702
1,OUT,27,3,Bot,5.1925,51.1148,43.6926,117.81,86.00,4.47,43.96,37.58,2.8086,0.0838,2.98369294310333
1,OUT,27,4,Bot,2.4985,53.0484,44.4531,117.81,91.90,2.30,48.75,40.85,2.7881,0.0885,3.17420465550016
1,OUT,27,5,Bot,5.7721,52.3329,41.8949,117.81,89.30,5.15,46.73,37.41,2.9373,0.0931,3.16957750314915
2,IN,0,1,Top,3.0331,57.7767,39.1902,39.26,32.63,0.99,18.85,12.79,2.6574,0.0828,3.11582750056446
2,IN,0,2,Top,0.0000,51.9634,48.0366,39.26,25.58,0.00,13.29,12.29,2.8108,0.0921,3.27664721787391
2,IN,0,3,Top,0.0000,48.6642,51.3358,39.26,24.91,0.00,12.12,12.79,2.7866,0.0921,3.30510299289457
2,IN,0,4,Top,0.0000,52.5218,47.4782,39.26,22.57,0.00,11.85,10.72,2.8926,0.1017,3.51586807716241
2,IN,0,5,Top,0.0000,48.9038,51.0962,39.26,21.88,0.00,10.70,11.18,2.8049,0.0967,3.44753823665728
2,IN,0,1,Bot,11.1094,51.0007,37.8899,117.81,82.50,9.17,42.08,31.26,2.9499,0.1047,3.54927285670701
2,IN,0,2,Bot,11.5555,53.3027,35.1418,117.81,96.50,11.15,51.44,33.91,2.9629,0.1039,3.50669951736474
2,IN,0,3,Bot,7.8897,52.1027,40.0076,117.81,91.50,7.22,47.67,36.61,2.772,0.0976,3.52092352092352
2,IN,0,4,Bot,8.5244,51.7437,39.7319,117.81,96.40,8.22,49.88,38.30,2.6835,0.0927,3.45444382336501
2,IN,0,5,Bot,12.7596,49.3204,37.9200,117.81,88.90,11.34,43.85,33.71,2.5785,0.094,3.64553034710103
2,IN,12,1,Top,0.0000,48.9979,51.0021,39.26,23.74,0.00,11.63,12.11,2.8163,0.1032,3.66438234563079
2,IN,12,2,Top,0.0000,43.2587,56.7413,39.26,22.22,0.00,9.61,12.61,2.9018,0.0994,3.42546005927355
2,IN,12,3,Top,0.0000,43.5529,56.4471,39.26,21.45,0.00,9.34,12.11,2.8829,0.1105,3.83294599188317
2,IN,12,4,Top,0.0000,40.6687,59.3313,39.26,21.25,0.00,8.64,12.61,2.8391,0.1011,3.5609876369272
2,IN,12,5,Top,0.0000,28.8560,71.1440,39.26,17.12,0.00,4.94,12.18,2.7739,0.0955,3.44280615739572
2,IN,12,1,Bot,10.0971,48.5846,41.3184,117.81,91.20,9.21,44.31,37.68,2.8763,0.1061,3.68876681848208
2,IN,12,2,Bot,10.6682,50.2612,39.0706,117.81,91.20,9.73,45.84,35.63,2.8922,0.0987,3.41262706590139
2,IN,12,3,Bot,7.4145,49.4873,43.0981,117.81,78.10,5.79,38.65,33.66,2.8881,0.1052,3.64253315328417
2,IN,12,4,Bot,5.6148,52.3283,42.0569,117.81,84.90,4.77,44.43,35.71,2.9581,0.1062,3.59014232108448
2,IN,12,5,Bot,7.3451,45.5402,47.1147,117.81,97.20,7.14,44.27,45.80,2.7189,0.0984,3.61911066975615
2,IN,19,1,Top,0.0000,20.6440,79.3560,39.26,9.85,0.00,2.03,7.82,2.7779,0.1153,4.1506173728356
2,IN,19,2,Top,0.0000,42.7695,57.2305,39.26,18.90,0.00,8.08,10.82,2.7671,0.1175,4.24632286509342
2,IN,19,3,Top,0.0000,40.8686,59.1314,39.26,20.89,0.00,8.54,12.35,2.8008,0.1124,4.0131391031134
2,IN,19,4,Top,0.0000,43.3448,56.6552,39.26,20.73,0.00,8.99,11.74,2.8585,0.1195,4.18051425572853
2,IN,19,5,Top,0.0000,46.7605,53.2395,39.26,22.06,0.00,10.32,11.74,2.8346,0.1237,4.36393141889508
2,IN,19,1,Bot,2.8882,50.3456,46.7662,117.81,93.80,2.71,47.22,43.87,2.8549,0.1227,4.2978738309573
2,IN,19,2,Bot,8.4819,53.5452,37.9728,117.81,88.50,7.51,47.39,33.61,2.865,0.1203,4.19895287958115
2,IN,19,3,Bot,8.9294,53.7927,37.2779,117.81,91.30,8.15,49.11,34.03,2.9319,0.1191,4.06221221733347
2,IN,19,4,Bot,5.3358,52.1077,42.5565,117.81,90.30,4.82,47.05,38.43,2.8527,0.1171,4.10488309320994
2,IN,19,5,Bot,7.5319,52.3960,40.0721,117.81,83.40,6.28,43.70,33.42,2.9243,0.1274,4.35659816024348
2,IN,27,1,Top,0.0000,42.4710,57.5290,39.26,22.96,0.00,9.75,13.21,2.8849,0.1067,3.69856840791709
2,IN,27,2,Top,0.0000,37.1961,62.8039,39.26,20.35,0.00,7.57,12.78,2.7581,0.1147,4.15865994706501
2,IN,27,3,Top,0.0000,38.6055,61.3945,39.26,20.70,0.00,7.99,12.71,2.9117,0.11,3.77786173026067
2,IN,27,4,Top,0.0000,42.1331,57.8669,39.26,21.16,0.00,8.92,12.24,2.9165,0.1075,3.68592490999486
2,IN,27,5,Top,0.0000,39.8748,60.1252,39.26,22.86,0.00,9.12,13.74,2.7982,0.1092,3.90250875562862
2,IN,27,1,Bot,5.1667,49.7143,45.1190,117.81,83.90,4.33,41.71,37.85,2.8799,0.1246,4.32653911594153
2,IN,27,2,Bot,5.0013,50.8262,44.1725,117.81,86.70,4.34,44.07,38.30,2.9178,0.1243,4.26005894852286
2,IN,27,3,Bot,1.2838,49.3581,49.3581,117.81,79.90,1.03,39.44,39.44,2.8367,0.1195,4.21264144957169
2,IN,27,4,Bot,6.2899,50.5944,43.1158,117.81,77.20,4.86,39.06,33.29,2.7549,0.1129,4.09815238302661
2,IN,27,5,Bot,2.3688,50.7174,46.9138,117.81,84.70,2.01,42.96,39.74,2.8993,0.1233,4.25275066395337
2,OUT,0,1,Top,0.0000,40.9323,59.0677,39.26,25.62,0.00,10.49,15.13,2.9711,0.0986,3.31863619534852
2,OUT,0,2,Top,0.0000,33.7094,66.2906,39.26,19.92,0.00,6.71,13.21,2.8599,0.0964,3.37074722892409
2,OUT,0,3,Top,2.2473,52.0202,45.7324,39.26,27.86,0.63,14.49,12.74,3.1053,0.1118,3.6002962676714
2,OUT,0,4,Top,2.3394,49.7916,47.8691,39.26,29.75,0.70,14.81,14.24,2.9824,0.1053,3.5307135193133
2,OUT,0,5,Top,0.0000,49.3235,50.6765,39.26,22.04,0.00,10.87,11.17,2.872,0.0951,3.31128133704735
2,OUT,0,1,Bot,6.5674,48.3828,45.0498,117.81,85.10,5.59,41.17,38.34,2.9381,0.1004,3.41717436438515
2,OUT,0,2,Bot,8.0190,49.1246,42.8564,117.81,87.30,7.00,42.89,37.41,3.0003,0.1059,3.52964703529647
2,OUT,0,3,Bot,6.7551,49.3093,43.9357,117.81,78.80,5.32,38.86,34.62,2.9501,0.1003,3.3998847496695
2,OUT,0,4,Bot,6.1927,49.9999,43.8075,117.81,83.60,5.18,41.80,36.62,3.0273,0.1052,3.47504376837446
2,OUT,0,5,Bot,9.9462,50.8020,39.2519,117.81,90.50,9.00,45.98,35.52,2.8836,0.099,3.43320848938826
2,OUT,12,1,Top,0.0000,50.2721,49.7279,39.26,26.41,0.00,13.28,13.13,2.9657,0.1019,3.43595104022659
2,OUT,12,2,Top,0.0000,42.3933,57.6067,39.26,21.93,0.00,9.30,12.63,3.0003,0.1118,3.72629403726294
2,OUT,12,3,Top,0.0000,43.2642,56.7358,39.26,22.33,0.00,9.66,12.67,3.0234,0.1059,3.50267910299663
2,OUT,12,4,Top,0.0000,47.7562,52.2438,39.26,24.25,0.00,11.58,12.67,2.9394,0.1029,3.50071443151664
2,OUT,12,5,Top,0.0000,43.4359,56.5641,39.26,25.87,0.00,11.24,14.63,2.9449,0.1031,3.50096777479711
2,OUT,12,1,Bot,6.7667,50.9036,42.3298,117.81,83.30,5.64,42.40,35.26,3.0676,0.1054,3.43591080975355
2,OUT,12,2,Bot,8.4102,48.4871,43.1028,117.81,94.90,7.98,46.01,40.90,2.8494,0.0996,3.49547273110128
2,OUT,12,3,Bot,2.5205,47.4675,50.0120,117.81,83.50,2.10,39.64,41.76,2.9284,0.1035,3.534353230433
2,OUT,12,4,Bot,5.9990,51.6250,42.3761,117.81,85.50,5.13,44.14,36.23,2.9379,0.0979,3.33231219578611
2,OUT,12,5,Bot,3.7490,46.7734,49.4775,117.81,87.10,3.27,40.74,43.09,2.9706,0.1044,3.51444152696425
2,OUT,19,1,Top,0.0000,53.8811,46.1189,39.26,25.31,0.00,13.64,11.67,3.1436,0.1011,3.21605802264919
2,OUT,19,2,Top,0.0000,50.1394,49.8606,39.26,22.48,0.00,11.27,11.21,3.0343,0.1117,3.68124443858551
2,OUT,19,3,Top,0.0000,50.9561,49.0439,39.26,24.82,0.00,12.65,12.17,2.8683,0.1087,3.7897012167486
