year,reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,1,OUT,12,4,Bot,56.3202,24.4656,19.2142,117.81,138.10,77.7782,33.7870,26.5348,2.9776,0.0761,2.5557
1,1,OUT,12,5,Bot,47.2422,28.3677,24.3900,117.81,124.70,58.9111,35.3746,30.4144,2.9726,0.0731,2.4591
1,1,OUT,19,1,Top,39.3543,29.4119,31.2339,39.26,37.50,14.7579,11.0294,11.7127,2.9962,0.0766,2.5566
1,1,OUT,19,2,Top,47.7582,25.9555,26.2863,39.26,44.60,21.3001,11.5761,11.7237,2.9562,0.0666,2.2529
1,1,OUT,19,3,Top,51.6072,21.6821,26.7107,39.26,42.00,21.6750,9.1065,11.2185,2.9704,0.0717,2.4138
1,1,OUT,19,4,Top,51.8574,21.3348,26.8078,39.26,49.00,25.4101,10.4540,13.1358,3.1811,0.0488,1.5341
1,1,OUT,19,5,Top,52.9691,20.5505,26.4803,39.26,45.90,24.3128,9.4327,12.1545,2.9636,0.0670,2.2608
1,1,OUT,19,1,Bot,45.5063,24.4881,30.0056,117.81,133.10,60.5689,32.5936,39.9375,2.9611,0.0749,2.5295
1,1,OUT,19,2,Bot,39.2883,25.5978,35.1139,117.81,103.10,40.5062,26.3914,36.2024,2.9585,0.0829,2.8021
1,1,OUT,19,3,Bot,42.0718,27.7491,30.1791,117.81,114.40,48.1302,31.7449,34.5249,2.9657,0.0754,2.5424
1,1,OUT,19,4,Bot,49.2700,22.6991,28.0308,117.81,126.30,62.2281,28.6690,35.4029,2.9596,0.0703,2.3753
1,1,OUT,19,5,Bot,44.7802,23.4487,31.7710,117.81,129.40,57.9456,30.3427,41.1117,2.9771,0.0889,2.9861
1,1,OUT,27,1,Top,57.9898,13.7924,28.2179,39.26,46.60,27.0232,6.4272,13.1495,2.9698,0.0626,2.1079
1,1,OUT,27,2,Top,50.2457,18.8774,30.8769,39.26,39.30,19.7466,7.4188,12.1346,3.0786,0.0540,1.7540
1,1,OUT,27,3,Top,46.7662,22.0226,31.2112,39.26,35.80,16.7423,7.8841,11.1736,2.9924,0.0808,2.7002
1,1,OUT,27,4,Top,43.9671,25.0651,30.9678,39.26,37.60,16.5316,9.4245,11.6439,2.9735,0.0736,2.4752
1,1,OUT,27,5,Top,53.6881,19.5841,26.7278,39.26,45.60,24.4818,8.9304,12.1879,3.0106,0.0766,2.5443
1,1,OUT,27,1,Bot,38.0293,27.8536,34.1172,117.81,112.30,42.7069,31.2796,38.3136,2.9756,0.0616,2.0702
1,1,OUT,27,2,Bot,36.8709,28.8517,34.2774,117.81,122.50,45.1669,35.3433,41.9899,3.1189,0.0705,2.2604
1,1,OUT,27,3,Bot,42.6933,23.9018,33.4049,117.81,109.50,46.7492,26.1724,36.5784,2.9977,0.0976,3.2558
1,1,OUT,27,4,Bot,41.7058,27.9649,30.3294,117.81,125.80,52.4658,35.1798,38.1543,3.1607,0.1022,3.2335
1,1,OUT,27,5,Bot,53.5964,18.0287,28.3749,117.81,124.70,66.8347,22.4818,35.3835,2.9804,0.0761,2.5533
1,2,IN,0,1,Top,44.4635,24.8591,30.6774,39.26,30.17,13.4146,7.5000,9.2554,2.9898,0.0531,1.7760
1,2,IN,0,2,Top,46.7969,22.7519,30.4512,39.26,35.32,16.5287,8.0360,10.7554,2.9819,0.0614,2.0591
1,2,IN,0,3,Top,59.8037,16.0732,24.1231,39.26,40.44,24.1846,6.5000,9.7554,2.9929,0.0438,1.4635
1,2,IN,0,4,Top,42.1050,25.1046,32.7904,39.26,35.85,15.0946,9.0000,11.7554,3.0578,0.0565,1.8477
1,2,IN,0,5,Top,56.9218,20.2042,22.8740,39.26,47.02,26.7646,9.5000,10.7554,2.9935,0.0432,1.4431
1,2,IN,0,1,Bot,40.8089,27.8496,31.3415,117.81,129.80,52.9699,36.1488,40.6813,3.0338,0.0636,2.0964
1,2,IN,0,2,Bot,53.6609,20.8436,25.4954,117.81,134.20,72.0130,27.9721,34.2149,2.9965,0.0735,2.4529
1,2,IN,0,3,Bot,42.7558,25.8402,31.4040,117.81,132.40,56.6087,34.2124,41.5789,3.1004,0.0638,2.0578
1,2,IN,0,4,Bot,42.6300,25.9688,31.4011,117.81,126.20,53.7991,32.7727,39.6282,3.0959,0.0776,2.5065
1,2,IN,0,5,Bot,45.7024,26.9300,27.3676,117.81,120.70,55.1628,32.5045,33.0327,2.9834,0.1070,3.5865
1,2,IN,12,1,Top,39.4201,28.8254,31.7545,39.26,41.63,16.4106,12.0000,13.2194,3.0184,0.0626,2.0739
1,2,IN,12,2,Top,32.2820,28.3159,39.4021,39.26,33.55,10.8306,9.5000,13.2194,3.0018,0.0639,2.1287
1,2,IN,12,3,Top,37.1495,24.0045,38.8460,39.26,35.41,13.1546,8.5000,13.7554,3.0074,0.0620,2.0616
1,2,IN,12,4,Top,40.6464,25.3821,33.9715,39.26,31.66,12.8687,8.0360,10.7554,2.9582,0.0762,2.5759
1,2,IN,12,5,Top,38.0496,24.2003,37.7501,39.26,31.14,11.8487,7.5360,11.7554,2.9850,0.0889,2.9782
1,2,IN,12,1,Bot,39.8262,28.8385,31.3353,117.81,107.30,42.7335,30.9437,33.6227,2.9645,0.0690,2.3275
1,2,IN,12,2,Bot,45.7105,22.9480,31.3415,117.81,132.90,60.7492,30.4979,41.6528,2.9664,0.0717,2.4171
1,2,IN,12,3,Bot,51.6975,19.9562,28.3463,117.81,135.20,69.8950,26.9808,38.3242,2.9923,0.0760,2.5399
1,2,IN,12,4,Bot,43.2983,25.6663,31.0353,117.81,125.90,54.5126,32.3139,39.0735,3.0793,0.0701,2.2765
1,2,IN,12,5,Bot,45.6875,20.9072,33.4054,117.81,139.50,63.7340,29.1655,46.6005,3.0551,0.0827,2.7069
1,2,IN,19,1,Top,44.0610,26.7176,29.2213,39.26,34.48,15.1922,9.2122,10.0755,2.9803,0.0603,2.0233
1,2,IN,19,2,Top,38.8909,23.8537,37.2554,39.26,28.29,11.0022,6.7482,10.5396,3.0286,0.0462,1.5255
1,2,IN,19,3,Top,49.7134,22.1404,28.1462,39.26,39.35,19.5622,8.7122,11.0755,3.0389,0.0489,1.6091
1,2,IN,19,4,Top,46.5223,26.2464,27.2313,39.26,40.54,18.8602,10.6403,11.0396,3.0382,0.0508,1.6720
1,2,IN,19,5,Top,45.5417,25.4717,28.9866,39.26,39.81,18.1302,10.1403,11.5396,3.0133,0.0518,1.7190
1,2,IN,19,1,Bot,38.5273,28.9017,32.5710,117.81,120.80,46.5410,34.9132,39.3458,2.9894,0.0706,2.3617
1,2,IN,19,2,Bot,45.8029,27.1990,26.9981,117.81,137.30,62.8874,37.3442,37.0684,3.0736,0.0662,2.1538
1,2,IN,19,3,Bot,41.0646,29.0713,29.8641,117.81,121.30,49.8114,35.2635,36.2251,3.0406,0.0847,2.7856
1,2,IN,19,4,Bot,35.7174,29.2455,35.0371,117.81,118.70,42.3966,34.7144,41.5890,3.0171,0.0671,2.2240
1,2,IN,19,5,Bot,36.7534,32.7050,30.5416,117.81,119.80,44.0306,39.1806,36.5888,3.0102,0.0598,1.9866
1,2,IN,27,1,Top,47.7468,25.6455,26.6077,39.26,41.49,19.8102,10.6403,11.0396,2.9790,0.0575,1.9302
1,2,IN,27,2,Top,54.9225,21.5596,23.5179,39.26,40.41,22.1942,8.7122,9.5036,2.9825,0.0781,2.6186
1,2,IN,27,3,Top,45.9607,25.9202,28.1191,39.26,39.26,18.0442,10.1763,11.0396,2.9850,0.0718,2.4054
1,2,IN,27,4,Top,41.5445,27.4737,30.9819,39.26,38.86,16.1442,10.6763,12.0396,2.9822,0.0465,1.5593
1,2,IN,27,5,Top,43.3097,27.8919,28.7985,39.26,40.07,17.3542,11.1763,11.5396,3.0178,0.0588,1.9484
1,2,IN,27,1,Bot,34.8031,32.2365,32.9604,117.81,105.0,36.5432,33.8483,34.6085,2.9448,0.1043,3.5418
1,2,IN,27,2,Bot,36.8211,27.2436,35.9354,117.81,113.8,41.9024,31.0032,40.8944,2.9656,0.0903,3.0449
1,2,IN,27,3,Bot,47.9432,21.1999,30.8569,117.81,117.8,56.4771,24.9735,36.3495,2.9748,0.0903,3.0355
1,2,IN,27,4,Bot,41.7780,27.3261,30.8959,117.81,109.1,45.5798,29.8128,33.7075,3.0113,0.0710,2.3578
1,2,IN,27,5,Bot,41.0985,26.1175,32.7840,117.81,127.3,52.3184,33.2476,41.7341,2.9831,0.0720,2.4136
1,2,OUT,0,1,Top,33.3478,28.5314,38.1208,39.26,25.77,8.5937,7.3525,9.8237,3.0061,0.0945,3.1436
1,2,OUT,0,2,Top,42.2092,24.9009,32.8900,39.26,35.84,15.1278,8.9245,11.7878,2.9825,0.0790,2.6488
1,2,OUT,0,3,Top,41.2829,22.5810,36.1361,39.26,32.72,13.5078,7.3885,11.8237,2.9974,0.0693,2.3120
1,2,OUT,0,4,Top,57.2347,18.4156,24.3497,39.26,42.25,24.1816,7.7806,10.2878,2.9781,0.0688,2.3102
1,2,OUT,0,5,Top,39.7352,24.3673,35.8974,39.26,34.13,13.5616,8.3166,12.2518,3.0125,0.0647,2.1477
1,2,OUT,0,1,Bot,34.3100,30.3548,35.3352,117.81,106.70,36.6087,32.3886,37.7027,3.0001,0.1025,3.4166
1,2,OUT,0,2,Bot,47.0644,27.5285,25.4070,117.81,132.60,62.4074,36.5028,33.6897,2.9601,0.0892,3.0134
1,2,OUT,0,3,Bot,48.2463,22.4669,29.2869,117.81,131.90,63.6368,29.6338,38.6294,2.9730,0.0966,3.2492
1,2,OUT,0,4,Bot,45.1267,23.5918,31.2815,117.81,127.40,57.4914,30.0560,39.8526,3.0001,0.0870,2.8999
1,2,OUT,0,5,Bot,43.0682,27.5340,29.3977,117.81,126.60,54.5244,34.8581,37.2175,2.9813,0.0813,2.7270
