reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
2,IN,27,3,Top,20.70,20.70,27.5,15.4,16.0,17.8,24.500,22.845,13.500,12.709,0.0000,38.6055,61.3945,clay,61.3945
2,IN,27,4,Top,21.16,21.16,28.0,15.5,15.5,17.9,25.000,23.381,13.000,12.245,0.0000,42.1331,57.8669,clay,57.8669
2,IN,27,5,Top,22.86,22.86,29.5,15.4,17.0,17.9,26.500,24.845,14.500,13.745,0.0000,39.8748,60.1252,clay,60.1252
2,IN,27,1,Bot,83.90,50.49,52.5,15.5,26.0,18.0,49.500,47.881,23.500,22.781,5.1667,49.7143,45.1190,clay,45.1190
2,IN,27,2,Bot,86.70,50.44,52.5,15.6,25.5,18.0,49.500,47.917,23.000,22.281,5.0013,50.8262,44.1725,clay,44.1725
2,IN,27,3,Bot,79.90,50.06,54.0,15.6,28.0,17.8,51.000,49.417,25.500,24.709,1.2838,49.3581,49.3581,clay,49.3581
2,IN,27,4,Bot,77.20,50.60,52.0,15.6,25.0,18.1,49.000,47.417,22.500,21.817,6.2899,50.5944,43.1158,clay,43.1158
2,IN,27,5,Bot,84.70,50.69,54.0,15.8,27.0,18.0,51.000,49.489,24.500,23.781,2.3688,50.7174,46.9138,clay,46.9138
2,OUT,0,1,Top,25.62,25.62,33.0,13.4,19.5,16.2,29.500,27.126,16.500,15.133,0.0000,40.9323,59.0677,clay,59.0677
2,OUT,0,2,Top,19.92,19.92,27.0,13.6,17.5,16.4,23.500,21.198,14.500,13.205,0.0000,33.7094,66.2906,clay,66.2906
2,OUT,0,3,Top,27.86,27.86,33.0,13.7,17.0,16.5,29.500,27.234,14.000,12.741,2.2473,52.0202,45.7324,clay,45.7324
2,OUT,0,4,Top,29.75,29.75,35.0,13.2,18.5,16.5,31.500,29.054,15.500,14.241,2.3394,49.7916,47.8691,clay,47.8691
2,OUT,0,5,Top,22.04,22.04,28.5,13.1,15.5,16.3,25.000,22.518,12.500,11.169,0.0000,49.3235,50.6765,clay,50.6765
2,OUT,0,1,Bot,85.10,50.40,53.0,13.3,27.0,16.4,49.500,47.090,24.000,22.705,6.5674,48.3828,45.0498,clay,45.0498
2,OUT,0,2,Bot,87.30,50.73,52.5,13.5,26.0,16.5,49.000,46.662,23.000,21.741,8.0190,49.1246,42.8564,clay,42.8564
2,OUT,0,3,Bot,78.80,50.54,53.0,13.4,26.5,16.4,49.500,47.126,23.500,22.205,6.7551,49.3093,43.9357,clay,43.9357
2,OUT,0,4,Bot,83.60,50.77,53.5,13.4,26.5,16.5,50.000,47.626,23.500,22.241,6.1927,49.9999,43.8075,clay,43.8075
2,OUT,0,5,Bot,90.50,50.11,51.0,13.4,24.0,16.3,47.500,45.126,21.000,19.669,9.9462,50.8020,39.2519,clay,39.2519
2,OUT,12,1,Top,26.41,26.41,32.5,13.3,17.5,16.2,29.000,26.590,14.500,13.133,0.0000,50.2721,49.7279,clay,49.7279
2,OUT,12,2,Top,21.93,21.93,29.5,13.3,17.0,16.2,26.000,23.590,14.000,12.633,0.0000,42.3933,57.6067,clay,57.6067
2,OUT,12,3,Top,22.33,22.33,29.5,13.3,17.0,16.3,26.000,23.590,14.000,12.669,0.0000,43.2642,56.7358,clay,56.7358
2,OUT,12,4,Top,24.25,24.25,30.5,13.2,17.0,16.3,27.000,24.554,14.000,12.669,0.0000,47.7562,52.2438,clay,52.2438
